

 ************************** Static Model - Solar Cycle **************************
                           F10.7 = 100.00 Fbar = 100.00

  Alt MMolMs LogDsty ExTemp LcTemp NMolHe NMolO2 NMolN2 NMolAr NMmolO  NMolH
  790   4.16 -14.298 860.48 859.99 11.741  4.319  6.750   .000 10.635 11.127
  800   4.06 -14.329 860.48 860.01 11.722  4.168  6.618   .000 10.560 11.123
  810   3.96 -14.358 860.48 860.03 11.704  4.018  6.487   .000 10.485 11.118
  820   3.88 -14.385 860.48 860.05 11.685  3.868  6.355   .000 10.410 11.113
  830   3.80 -14.412 860.48 860.07 11.666  3.719  6.225   .000 10.335 11.109
  840   3.73 -14.438 860.48 860.08 11.648  3.570  6.094   .000 10.261 11.104
  850   3.66 -14.463 860.48 860.10 11.629  3.421  5.964   .000 10.186 11.099
  860   3.60 -14.486 860.48 860.11 11.610  3.273  5.835   .000 10.112 11.095
  870   3.55 -14.510 860.48 860.13 11.592  3.126  5.705   .000 10.038 11.090
  880   3.50 -14.532 860.48 860.14 11.574  2.978  5.577   .000  9.965 11.085
  890   3.45 -14.554 860.48 860.15 11.555  2.832  5.448   .000  9.891 11.081
  900   3.41 -14.575 860.48 860.17 11.537  2.685  5.320   .000  9.818 11.076
  910   3.37 -14.595 860.48 860.18 11.519  2.539  5.192   .000  9.745 11.071
  920   3.33 -14.616 860.48 860.19 11.500  2.394  5.065   .000  9.672 11.067
  930   3.30 -14.635 860.48 860.20 11.482  2.248  4.937   .000  9.600 11.062
  940   3.26 -14.655 860.48 860.21 11.464  2.103  4.811   .000  9.527 11.058
  950   3.23 -14.673 860.48 860.22 11.446  1.959  4.684   .000  9.455 11.053
  960   3.20 -14.692 860.48 860.23 11.428  1.815  4.558   .000  9.383 11.049
  970   3.17 -14.710 860.48 860.24 11.410  1.671  4.432   .000  9.311 11.044
  980   3.14 -14.728 860.48 860.24 11.392  1.528  4.307   .000  9.240 11.039
  990   3.12 -14.746 860.48 860.25 11.374  1.385  4.182   .000  9.168 11.035
 1000   3.09 -14.764 860.48 860.26 11.356  1.243  4.057   .000  9.097 11.030
 1010   3.06 -14.781 860.48 860.27 11.339  1.101  3.933   .000  9.026 11.026
 1020   3.04 -14.798 860.48 860.27 11.321   .959  3.809   .000  8.955 11.022
 1030   3.01 -14.815 860.48 860.28 11.303   .818  3.685   .000  8.884 11.017
 1040   2.99 -14.832 860.48 860.29 11.286   .677  3.562   .000  8.814 11.013
 1050   2.97 -14.849 860.48 860.29 11.268   .536  3.439   .000  8.744 11.008
 1060   2.94 -14.865 860.48 860.30 11.250   .396  3.316   .000  8.674 11.004
 1070   2.92 -14.881 860.48 860.30 11.233   .256  3.194   .000  8.604 10.999
 1080   2.89 -14.897 860.48 860.31 11.216   .117  3.072   .000  8.534 10.995
 1090   2.87 -14.913 860.48 860.31 11.198   .000  2.950   .000  8.465 10.991
 1100   2.85 -14.929 860.48 860.32 11.181   .000  2.828   .000  8.395 10.986
 1110   2.83 -14.945 860.48 860.32 11.163   .000  2.707   .000  8.326 10.982
 1120   2.80 -14.961 860.48 860.33 11.146   .000  2.587   .000  8.257 10.978
 1130   2.78 -14.976 860.48 860.33 11.129   .000  2.466   .000  8.188 10.973
 1140   2.76 -14.992 860.48 860.34 11.112   .000  2.346   .000  8.120 10.969
 1150   2.73 -15.007 860.48 860.34 11.095   .000  2.226   .000  8.051 10.965
 1160   2.71 -15.022 860.48 860.35 11.078   .000  2.107   .000  7.983 10.960
 1170   2.69 -15.037 860.48 860.35 11.061   .000  1.988   .000  7.915 10.956
 1180   2.67 -15.052 860.48 860.35 11.044   .000  1.869   .000  7.847 10.952
 1190   2.65 -15.067 860.48 860.36 11.027   .000  1.750   .000  7.779 10.947
 1200   2.62 -15.082 860.48 860.36 11.010   .000  1.632   .000  7.712 10.943
 1210   2.60 -15.097 860.48 860.36 10.993   .000  1.514   .000  7.645 10.939
 1220   2.58 -15.111 860.48 860.37 10.976   .000  1.397   .000  7.578 10.935
 1230   2.56 -15.126 860.48 860.37 10.959   .000  1.280   .000  7.511 10.930
 1240   2.54 -15.140 860.48 860.37 10.943   .000  1.163   .000  7.444 10.926
 1250   2.51 -15.154 860.48 860.37 10.926   .000  1.046   .000  7.377 10.922
 1260   2.49 -15.168 860.48 860.38 10.909   .000   .930   .000  7.311 10.918
 1270   2.47 -15.182 860.48 860.38 10.893   .000   .814   .000  7.244 10.914
 1280   2.45 -15.196 860.48 860.38 10.876   .000   .698   .000  7.178 10.910
 1290   2.43 -15.210 860.48 860.38 10.860   .000   .583   .000  7.112 10.905
 1300   2.41 -15.224 860.48 860.39 10.843   .000   .467   .000  7.047 10.901
 1310   2.39 -15.238 860.48 860.39 10.827   .000   .353   .000  6.981 10.897
 1320   2.36 -15.251 860.48 860.39 10.811   .000   .238   .000  6.916 10.893
 1330   2.34 -15.265 860.48 860.39 10.794   .000   .124   .000  6.851 10.889
 1340   2.32 -15.278 860.48 860.40 10.778   .000   .010   .000  6.785 10.885
 1350   2.30 -15.291 860.48 860.40 10.762   .000   .000   .000  6.721 10.881
 1360   2.28 -15.304 860.48 860.40 10.746   .000   .000   .000  6.656 10.877
 1370   2.26 -15.317 860.48 860.40 10.729   .000   .000   .000  6.591 10.873
 1380   2.24 -15.330 860.48 860.40 10.713   .000   .000   .000  6.527 10.868
 1390   2.22 -15.343 860.48 860.40 10.697   .000   .000   .000  6.463 10.864
 1400   2.20 -15.356 860.48 860.41 10.681   .000   .000   .000  6.399 10.860
 1410   2.18 -15.369 860.48 860.41 10.665   .000   .000   .000  6.335 10.856
