 ******************************** Static Profile ********************************
                             Exospheric Temperature

  alt           500K           700K          1000K          1500K          2400K
 (km) mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty
  730   1.45 -14.697   3.05 -14.455   7.84 -13.678  14.34 -12.538  16.56 -11.607
  740   1.43 -14.715   2.99 -14.482   7.53 -13.727  14.21 -12.581  16.50 -11.637
  750   1.41 -14.733   2.93 -14.508   7.22 -13.776  14.08 -12.624  16.45 -11.667
  760   1.39 -14.750   2.88 -14.532   6.93 -13.822  13.93 -12.667  16.39 -11.697
  770   1.37 -14.767   2.83 -14.556   6.66 -13.867  13.79 -12.709  16.34 -11.726
  780   1.35 -14.784   2.79 -14.580   6.41 -13.911  13.63 -12.751  16.28 -11.755
  790   1.33 -14.800   2.74 -14.602   6.16 -13.953  13.48 -12.793  16.23 -11.784
  800   1.32 -14.816   2.70 -14.625   5.94 -13.994  13.31 -12.834  16.18 -11.813
  810   1.30 -14.832   2.66 -14.647   5.73 -14.033  13.14 -12.876  16.12 -11.842
  820   1.29 -14.847   2.63 -14.668   5.53 -14.071  12.97 -12.917  16.07 -11.870
  830   1.28 -14.862   2.59 -14.689   5.35 -14.107  12.79 -12.957  16.02 -11.899
  840   1.26 -14.877   2.56 -14.710   5.19 -14.142  12.60 -12.997  15.97 -11.927
  850   1.25 -14.891   2.52 -14.730   5.03 -14.175  12.41 -13.037  15.92 -11.955
  860   1.24 -14.905   2.49 -14.750   4.89 -14.208  12.22 -13.077  15.87 -11.982
  870   1.23 -14.919   2.46 -14.770   4.76 -14.238  12.02 -13.116  15.82 -12.010
  880   1.22 -14.933   2.42 -14.789   4.64 -14.268  11.81 -13.155  15.76 -12.038
  890   1.21 -14.946   2.39 -14.808   4.53 -14.296  11.61 -13.194  15.71 -12.065
  900   1.20 -14.959   2.36 -14.827   4.43 -14.324  11.40 -13.232  15.66 -12.092
  910   1.19 -14.972   2.33 -14.846   4.34 -14.350  11.18 -13.270  15.61 -12.119
  920   1.18 -14.984   2.30 -14.865   4.26 -14.375  10.97 -13.307  15.56 -12.146
  930   1.17 -14.996   2.27 -14.883   4.18 -14.400  10.75 -13.344  15.50 -12.173
  940   1.16 -15.008   2.24 -14.901   4.11 -14.423  10.53 -13.380  15.45 -12.200
  950   1.15 -15.020   2.22 -14.919   4.05 -14.446  10.31 -13.417  15.40 -12.226
  960   1.15 -15.032   2.19 -14.937   3.99 -14.468  10.09 -13.452  15.34 -12.253
  970   1.14 -15.043   2.16 -14.954   3.93 -14.490   9.88 -13.488  15.29 -12.279
  980   1.13 -15.055   2.13 -14.972   3.88 -14.510   9.66 -13.522  15.23 -12.305
  990   1.13 -15.066   2.11 -14.989   3.83 -14.530   9.44 -13.557  15.17 -12.331
 1000   1.12 -15.077   2.08 -15.006   3.79 -14.550   9.23 -13.590  15.12 -12.357
 1010   1.12 -15.087   2.05 -15.022   3.75 -14.569   9.01 -13.624  15.06 -12.382
 1020   1.11 -15.098   2.03 -15.039   3.71 -14.588   8.81 -13.657  15.00 -12.408
 1030   1.10 -15.108   2.00 -15.055   3.68 -14.606   8.60 -13.689  14.94 -12.434
 1040   1.10 -15.118   1.98 -15.071   3.64 -14.623   8.40 -13.721  14.87 -12.459
 1050   1.10 -15.129   1.95 -15.087   3.61 -14.641   8.20 -13.752  14.81 -12.484
 1060   1.09 -15.139   1.93 -15.103   3.58 -14.658   8.01 -13.783  14.74 -12.509
 1070   1.09 -15.148   1.91 -15.119   3.56 -14.675   7.82 -13.813  14.68 -12.534
 1080   1.08 -15.158   1.88 -15.134   3.53 -14.691   7.63 -13.843  14.61 -12.559
 1090   1.08 -15.168   1.86 -15.150   3.51 -14.707   7.45 -13.872  14.54 -12.584
 1100   1.08 -15.177   1.84 -15.165   3.48 -14.723   7.28 -13.900  14.47 -12.609
 1110   1.07 -15.186   1.82 -15.180   3.46 -14.739   7.11 -13.928  14.40 -12.633
 1120   1.07 -15.196   1.79 -15.194   3.44 -14.755   6.95 -13.956  14.33 -12.657
 1130   1.07 -15.205   1.77 -15.209   3.42 -14.770   6.80 -13.982  14.26 -12.682
 1140   1.06 -15.214   1.75 -15.223   3.40 -14.785   6.65 -14.009  14.18 -12.706
 1150   1.06 -15.223   1.73 -15.237   3.38 -14.800   6.50 -14.034  14.10 -12.730
 1160   1.06 -15.232   1.71 -15.251   3.36 -14.815   6.36 -14.059  14.02 -12.754
 1170   1.06 -15.240   1.69 -15.265   3.34 -14.830   6.23 -14.084  13.94 -12.778
 1180   1.05 -15.249   1.68 -15.279   3.32 -14.844   6.10 -14.108  13.86 -12.802
 1190   1.05 -15.258   1.66 -15.292   3.30 -14.859   5.98 -14.131  13.78 -12.825
 1200   1.05 -15.266   1.64 -15.306   3.28 -14.873   5.86 -14.154  13.69 -12.849
