

 ******************************** Dynamic Model *********************************
  F10.7 = 100.00, Fbar = 100.00, Kp = 5.0, Right ascension (deg) =    .00
, Greenwich Sideral Time (rad) =    5.122 Altitude (km) = 600.00
, Modified Julian Date = 22476., UTC (s) =      .000

                                 Latitude (deg) 
 SunRA     -60            -30              0             30             60
  deg mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty
  125  11.77 -13.204  11.63 -13.228  11.60 -13.232  11.63 -13.228  11.77 -13.204
  130  11.69 -13.218  11.48 -13.253  11.43 -13.260  11.48 -13.253  11.69 -13.218
  135  11.61 -13.232  11.33 -13.276  11.26 -13.288  11.33 -13.276  11.61 -13.232
  140  11.53 -13.245  11.19 -13.299  11.09 -13.314  11.19 -13.299  11.53 -13.245
  145  11.45 -13.257  11.05 -13.321  10.93 -13.339  11.05 -13.321  11.45 -13.257
  150  11.38 -13.268  10.92 -13.341  10.78 -13.363  10.92 -13.341  11.38 -13.268
  155  11.32 -13.279  10.79 -13.360  10.63 -13.384  10.79 -13.360  11.32 -13.279
  160  11.26 -13.289  10.68 -13.377  10.50 -13.404  10.68 -13.377  11.26 -13.289
  165  11.20 -13.297  10.57 -13.393  10.37 -13.422  10.57 -13.393  11.20 -13.297
  170  11.15 -13.305  10.48 -13.406  10.26 -13.438  10.48 -13.406  11.15 -13.305
  175  11.11 -13.312  10.40 -13.418  10.17 -13.451  10.40 -13.418  11.11 -13.312
  180  11.07 -13.317  10.33 -13.428  10.08 -13.463  10.33 -13.428  11.07 -13.317
