 ******************************** Static Profile ********************************
                             Exospheric Temperature

  alt           500K           700K          1000K          1500K          2400K
 (km) mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty
  730   1.09 -14.071   3.15 -14.420   8.55 -13.599  14.52 -12.446  16.28 -11.519
  740   1.09 -14.082   3.09 -14.447   8.23 -13.650  14.40 -12.490  16.24 -11.548
  750   1.08 -14.093   3.03 -14.474   7.92 -13.700  14.28 -12.532  16.20 -11.577
  760   1.08 -14.103   2.97 -14.499   7.62 -13.748  14.16 -12.575  16.16 -11.606
  770   1.08 -14.113   2.92 -14.524   7.34 -13.795  14.03 -12.617  16.12 -11.634
  780   1.07 -14.124   2.87 -14.548   7.07 -13.841  13.90 -12.659  16.08 -11.663
  790   1.07 -14.134   2.83 -14.571   6.81 -13.885  13.76 -12.701  16.04 -11.691
  800   1.07 -14.144   2.79 -14.594   6.57 -13.928  13.61 -12.743  16.00 -11.719
  810   1.06 -14.154   2.75 -14.616   6.34 -13.969  13.46 -12.784  15.97 -11.747
  820   1.06 -14.163   2.71 -14.638   6.13 -14.009  13.30 -12.825  15.93 -11.775
  830   1.06 -14.173   2.67 -14.659   5.94 -14.047  13.14 -12.866  15.89 -11.802
  840   1.05 -14.182   2.63 -14.680   5.76 -14.084  12.97 -12.906  15.85 -11.830
  850   1.05 -14.192   2.60 -14.701   5.59 -14.120  12.80 -12.946  15.82 -11.857
  860   1.05 -14.201   2.57 -14.722   5.43 -14.154  12.62 -12.986  15.78 -11.885
  870   1.05 -14.210   2.53 -14.742   5.29 -14.186  12.43 -13.026  15.74 -11.912
  880   1.05 -14.220   2.50 -14.761   5.16 -14.218  12.24 -13.065  15.70 -11.939
  890   1.04 -14.229   2.47 -14.781   5.04 -14.248  12.05 -13.104  15.66 -11.966
  900   1.04 -14.238   2.44 -14.800   4.93 -14.277  11.85 -13.142  15.62 -11.992
  910   1.04 -14.247   2.41 -14.819   4.83 -14.306  11.65 -13.181  15.58 -12.019
  920   1.04 -14.255   2.38 -14.838   4.74 -14.333  11.45 -13.218  15.54 -12.046
  930   1.04 -14.264   2.35 -14.857   4.66 -14.359  11.24 -13.256  15.50 -12.072
  940   1.04 -14.273   2.32 -14.875   4.58 -14.384  11.03 -13.293  15.46 -12.098
  950   1.03 -14.281   2.29 -14.894   4.51 -14.408  10.82 -13.330  15.42 -12.124
  960   1.03 -14.290   2.26 -14.912   4.45 -14.431  10.61 -13.366  15.37 -12.150
  970   1.03 -14.298   2.23 -14.930   4.39 -14.454  10.40 -13.402  15.33 -12.176
  980   1.03 -14.307   2.20 -14.947   4.34 -14.476  10.18 -13.437  15.29 -12.202
  990   1.03 -14.315   2.18 -14.965   4.29 -14.497   9.97 -13.472  15.24 -12.228
 1000   1.03 -14.324   2.15 -14.982   4.25 -14.518   9.76 -13.507  15.19 -12.254
 1010   1.03 -14.332   2.12 -14.999   4.21 -14.538   9.55 -13.541  15.15 -12.279
 1020   1.03 -14.340   2.10 -15.016   4.18 -14.558   9.34 -13.574  15.10 -12.304
 1030   1.02 -14.348   2.07 -15.033   4.14 -14.577   9.13 -13.607  15.05 -12.330
 1040   1.02 -14.356   2.04 -15.049   4.11 -14.596   8.92 -13.640  15.00 -12.355
 1050   1.02 -14.364   2.02 -15.066   4.09 -14.614   8.72 -13.672  14.95 -12.380
 1060   1.02 -14.373   1.99 -15.082   4.06 -14.632   8.52 -13.704  14.89 -12.405
 1070   1.02 -14.381   1.97 -15.098   4.04 -14.650   8.33 -13.735  14.84 -12.430
 1080   1.02 -14.388   1.95 -15.114   4.02 -14.667   8.14 -13.766  14.78 -12.455
 1090   1.02 -14.396   1.92 -15.129   4.00 -14.684   7.96 -13.796  14.72 -12.479
 1100   1.02 -14.404   1.90 -15.145   3.98 -14.701   7.77 -13.825  14.67 -12.504
 1110   1.02 -14.412   1.88 -15.160   3.96 -14.718   7.60 -13.854  14.61 -12.528
 1120   1.02 -14.420   1.85 -15.175   3.95 -14.734   7.43 -13.882  14.55 -12.553
 1130   1.02 -14.428   1.83 -15.190   3.93 -14.750   7.26 -13.910  14.48 -12.577
 1140   1.02 -14.435   1.81 -15.205   3.92 -14.766   7.10 -13.938  14.42 -12.601
 1150   1.02 -14.443   1.79 -15.219   3.91 -14.782   6.95 -13.964  14.35 -12.625
 1160   1.02 -14.451   1.77 -15.234   3.90 -14.798   6.80 -13.991  14.28 -12.649
 1170   1.02 -14.458   1.75 -15.248   3.88 -14.813   6.66 -14.016  14.22 -12.673
 1180   1.02 -14.466   1.73 -15.262   3.87 -14.828   6.52 -14.041  14.15 -12.697
 1190   1.02 -14.473   1.71 -15.276   3.86 -14.844   6.39 -14.066  14.07 -12.720
 1200   1.02 -14.481   1.69 -15.289   3.85 -14.859   6.27 -14.090  14.00 -12.744
 1210   1.01 -14.488   1.67 -15.303   3.85 -14.874   6.14 -14.113  13.92 -12.767
 1220   1.01 -14.496   1.65 -15.316   3.84 -14.889   6.03 -14.136  13.85 -12.790
 1230   1.01 -14.503   1.63 -15.329   3.83 -14.903   5.92 -14.158  13.77 -12.814
 1240   1.01 -14.511   1.62 -15.342   3.82 -14.918   5.81 -14.180  13.69 -12.837
 1250   1.01 -14.518   1.60 -15.355   3.81 -14.933   5.71 -14.201  13.61 -12.860
 1260   1.01 -14.526   1.58 -15.368   3.80 -14.947   5.62 -14.222  13.52 -12.883
 1270   1.01 -14.533   1.57 -15.380   3.80 -14.961   5.53 -14.243  13.44 -12.905
 1280   1.01 -14.540   1.55 -15.393   3.79 -14.976   5.44 -14.262  13.35 -12.928
 1290   1.01 -14.547   1.54 -15.405   3.78 -14.990   5.36 -14.282  13.26 -12.950
 1300   1.01 -14.555   1.52 -15.417   3.77 -15.004   5.28 -14.300  13.17 -12.973
 1310   1.01 -14.562   1.51 -15.428   3.77 -15.018   5.21 -14.319  13.08 -12.995
 1320   1.01 -14.569   1.49 -15.440   3.76 -15.032   5.14 -14.337  12.99 -13.017
 1330   1.01 -14.576   1.48 -15.452   3.75 -15.046   5.08 -14.354  12.89 -13.040
 1340   1.01 -14.583   1.47 -15.463   3.75 -15.060   5.01 -14.371  12.80 -13.061
 1350   1.01 -14.591   1.45 -15.474   3.74 -15.074   4.96 -14.388  12.70 -13.083
 1360   1.01 -14.598   1.44 -15.485   3.73 -15.088   4.90 -14.405  12.60 -13.105
 1370   1.01 -14.605   1.43 -15.496   3.72 -15.102   4.85 -14.420  12.50 -13.127
 1380   1.01 -14.612   1.41 -15.507   3.72 -15.116   4.80 -14.436  12.40 -13.148
 1390   1.01 -14.619   1.40 -15.517   3.71 -15.129   4.75 -14.451  12.29 -13.170
 1400   1.01 -14.626   1.39 -15.528   3.70 -15.143   4.71 -14.466  12.19 -13.191
 1410   1.01 -14.633   1.38 -15.538   3.70 -15.156   4.66 -14.481  12.09 -13.212
 1420   1.01 -14.640   1.37 -15.548   3.69 -15.170   4.63 -14.495  11.98 -13.233
 1430   1.01 -14.647   1.36 -15.558   3.68 -15.183   4.59 -14.509  11.87 -13.254
 1440   1.01 -14.654   1.35 -15.568   3.67 -15.197   4.55 -14.523  11.76 -13.275
 1450   1.01 -14.661   1.34 -15.578   3.67 -15.210   4.52 -14.536  11.65 -13.295
 1460   1.01 -14.668   1.33 -15.588   3.66 -15.223   4.49 -14.549  11.54 -13.316
 1470   1.01 -14.674   1.32 -15.597   3.65 -15.237   4.46 -14.562  11.43 -13.336
 1480   1.01 -14.681   1.31 -15.606   3.64 -15.250   4.43 -14.575  11.32 -13.356
 1490   1.01 -14.688   1.30 -15.616   3.64 -15.263   4.41 -14.588  11.21 -13.377
 1500   1.01 -14.695   1.29 -15.625   3.63 -15.276   4.38 -14.600  11.10 -13.397
 1510   1.01 -14.702   1.28 -15.634   3.62 -15.289   4.36 -14.612  10.98 -13.416
 1520   1.01 -14.708   1.28 -15.643   3.61 -15.302   4.34 -14.624  10.87 -13.436
 1530   1.01 -14.715   1.27 -15.651   3.61 -15.315   4.32 -14.635  10.76 -13.456
 1540   1.01 -14.722   1.26 -15.660   3.60 -15.328   4.30 -14.647  10.64 -13.475
 1550   1.01 -14.729   1.25 -15.669   3.59 -15.341   4.28 -14.658  10.53 -13.495
 1560   1.01 -14.735   1.25 -15.677   3.58 -15.354   4.26 -14.669  10.41 -13.514
 1570   1.01 -14.742   1.24 -15.685   3.57 -15.367   4.25 -14.680  10.30 -13.533
 1580   1.01 -14.749   1.23 -15.694   3.56 -15.380   4.23 -14.691  10.19 -13.552
 1590   1.01 -14.755   1.23 -15.702   3.55 -15.392   4.22 -14.702  10.07 -13.570
 1600   1.01 -14.762   1.22 -15.710   3.55 -15.405   4.20 -14.713   9.96 -13.589
 1610   1.01 -14.769   1.21 -15.718   3.54 -15.418   4.19 -14.723   9.85 -13.607
 1620   1.01 -14.775   1.21 -15.725   3.53 -15.430   4.18 -14.733   9.73 -13.626
 1630   1.01 -14.782   1.20 -15.733   3.52 -15.443   4.17 -14.744   9.62 -13.644
 1640   1.01 -14.788   1.20 -15.741   3.51 -15.455   4.16 -14.754   9.51 -13.662
 1650   1.01 -14.795   1.19 -15.748   3.50 -15.468   4.15 -14.764   9.40 -13.680
 1660   1.01 -14.801   1.18 -15.756   3.49 -15.480   4.14 -14.774   9.29 -13.697
 1670   1.01 -14.808   1.18 -15.763   3.48 -15.493   4.13 -14.783   9.18 -13.715
 1680   1.01 -14.814   1.17 -15.770   3.47 -15.505   4.12 -14.793   9.07 -13.732
 1690   1.01 -14.821   1.17 -15.777   3.46 -15.517   4.11 -14.803   8.96 -13.749
 1700   1.01 -14.827   1.16 -15.784   3.45 -15.530   4.10 -14.812   8.85 -13.766
 1710   1.01 -14.834   1.16 -15.791   3.44 -15.542   4.10 -14.822   8.75 -13.783
 1720   1.01 -14.840   1.16 -15.798   3.43 -15.554   4.09 -14.831   8.64 -13.800
 1730   1.01 -14.847   1.15 -15.805   3.42 -15.566   4.08 -14.840   8.54 -13.817
 1740   1.01 -14.853   1.15 -15.812   3.41 -15.578   4.08 -14.850   8.44 -13.833
 1750   1.01 -14.859   1.14 -15.819   3.40 -15.590   4.07 -14.859   8.34 -13.849
 1760   1.01 -14.866   1.14 -15.825   3.39 -15.602   4.07 -14.868   8.24 -13.865
 1770   1.01 -14.872   1.14 -15.832   3.38 -15.614   4.06 -14.877   8.14 -13.881
 1780   1.01 -14.878   1.13 -15.838   3.37 -15.626   4.06 -14.886   8.04 -13.897
 1790   1.01 -14.885   1.13 -15.845   3.36 -15.638   4.05 -14.895   7.94 -13.913
 1800   1.01 -14.891   1.12 -15.851   3.35 -15.650   4.05 -14.904   7.85 -13.928
 1810   1.01 -14.897   1.12 -15.857   3.34 -15.662   4.04 -14.913   7.76 -13.944
 1820   1.01 -14.904   1.12 -15.864   3.33 -15.674   4.04 -14.921   7.66 -13.959
 1830   1.01 -14.910   1.11 -15.870   3.31 -15.686   4.04 -14.930   7.57 -13.974
 1840   1.01 -14.916   1.11 -15.876   3.30 -15.697   4.03 -14.939   7.49 -13.988
 1850   1.01 -14.922   1.11 -15.882   3.29 -15.709   4.03 -14.947   7.40 -14.003
 1860   1.01 -14.928   1.11 -15.888   3.28 -15.720   4.03 -14.956   7.31 -14.017
 1870   1.01 -14.935   1.10 -15.894   3.27 -15.732   4.02 -14.964   7.23 -14.032
 1880   1.01 -14.941   1.10 -15.900   3.26 -15.744   4.02 -14.973   7.15 -14.046
 1890   1.01 -14.947   1.10 -15.906   3.24 -15.755   4.02 -14.981   7.07 -14.060
 1900   1.01 -14.953   1.09 -15.911   3.23 -15.767   4.01 -14.990   6.99 -14.074
 1910   1.01 -14.959   1.09 -15.917   3.22 -15.778   4.01 -14.998   6.91 -14.087
 1920   1.01 -14.965   1.09 -15.923   3.21 -15.789   4.01 -15.007   6.83 -14.101
 1930   1.01 -14.971   1.09 -15.928   3.20 -15.801   4.01 -15.015   6.76 -14.114
 1940   1.01 -14.977   1.09 -15.934   3.18 -15.812   4.01 -15.023   6.69 -14.127
 1950   1.01 -14.983   1.08 -15.939   3.17 -15.823   4.00 -15.031   6.61 -14.140
 1960   1.01 -14.990   1.08 -15.945   3.16 -15.834   4.00 -15.040   6.54 -14.153
 1970   1.01 -14.996   1.08 -15.950   3.15 -15.845   4.00 -15.048   6.48 -14.166
 1980   1.01 -15.002   1.08 -15.956   3.13 -15.857   4.00 -15.056   6.41 -14.178
 1990   1.01 -15.008   1.08 -15.961   3.12 -15.868   4.00 -15.064   6.34 -14.191
 2000   1.01 -15.014   1.07 -15.966   3.11 -15.879   3.99 -15.072   6.28 -14.203
