

 ************************** Static Model - Solar Cycle **************************
                           F10.7 = 100.00 Fbar = 100.00

  Alt MMolMs LogDsty ExTemp LcTemp NMolHe NMolO2 NMolN2 NMolAr NMmolO  NMolH
  790   2.87 -14.567 703.00 703.00 11.524  1.908  4.560 -3.255  9.579 11.363
  800   2.83 -14.590 703.00 703.00 11.501  1.724  4.398 -3.485  9.486 11.357
  810   2.79 -14.612 703.00 703.00 11.478  1.541  4.238 -3.714  9.395 11.351
  820   2.75 -14.634 703.00 703.00 11.455  1.357  4.077 -3.943  9.303 11.345
  830   2.71 -14.656 703.00 703.00 11.433  1.175  3.917 -4.171  9.212 11.340
  840   2.67 -14.677 703.00 703.00 11.410   .993  3.758 -4.398  9.121 11.334
  850   2.64 -14.698 703.00 703.00 11.387   .811  3.599 -4.625  9.030 11.328
  860   2.60 -14.718 703.00 703.00 11.364   .630  3.440 -4.851  8.939 11.322
  870   2.57 -14.739 703.00 703.00 11.342   .449  3.282 -5.076  8.849 11.317
  880   2.54 -14.758 703.00 703.00 11.319   .269  3.124 -5.301  8.759 11.311
  890   2.51 -14.778 703.00 703.00 11.297   .089  2.967 -5.526  8.669 11.305
  900   2.47 -14.798 703.00 703.00 11.274  -.090  2.810 -5.749  8.579 11.300
  910   2.44 -14.817 703.00 703.00 11.252  -.269  2.654 -5.972  8.490 11.294
  920   2.41 -14.836 703.00 703.00 11.230  -.447  2.498 -6.195  8.401 11.288
  930   2.38 -14.854 703.00 703.00 11.207  -.624  2.342 -6.417  8.312 11.283
  940   2.35 -14.873 703.00 703.00 11.185  -.802  2.187 -6.638  8.223 11.277
  950   2.32 -14.891 703.00 703.00 11.163  -.978  2.033 -6.858  8.135 11.272
  960   2.30 -14.909 703.00 703.00 11.141 -1.155  1.878 -7.078  8.047 11.266
  970   2.27 -14.927 703.00 703.00 11.119 -1.330  1.724 -7.298  7.959 11.261
  980   2.24 -14.945 703.00 703.00 11.097 -1.506  1.571 -7.517  7.872 11.255
  990   2.21 -14.963 703.00 703.00 11.075 -1.680  1.418 -7.735  7.784 11.250
 1000   2.18 -14.980 703.00 703.00 11.054 -1.855  1.265 -7.953  7.697 11.244
 1010   2.16 -14.997 703.00 703.00 11.032 -2.029  1.113 -8.170  7.610 11.239
 1020   2.13 -15.014 703.00 703.00 11.010 -2.202   .961 -8.386  7.523 11.233
 1030   2.10 -15.031 703.00 703.00 10.989 -2.375   .810 -8.602  7.437 11.228
 1040   2.08 -15.048 703.00 703.00 10.967 -2.547   .659 -8.817  7.351 11.222
 1050   2.05 -15.064 703.00 703.00 10.945 -2.719   .508 -9.032  7.265 11.217
 1060   2.03 -15.081 703.00 703.00 10.924 -2.891   .358 -9.246  7.179 11.211
 1070   2.00 -15.097 703.00 703.00 10.903 -3.062   .209 -9.460  7.093 11.206
 1080   1.98 -15.113 703.00 703.00 10.881 -3.232   .059 -9.672  7.008 11.201
 1090   1.95 -15.128 703.00 703.00 10.860 -3.403  -.090 -9.885  6.923 11.195
 1100   1.93 -15.144 703.00 703.00 10.839 -3.572  -.238-10.097  6.838 11.190
 1110   1.91 -15.159 703.00 703.00 10.818 -3.741  -.386-10.308  6.754 11.185
 1120   1.89 -15.175 703.00 703.00 10.796 -3.910  -.534-10.519  6.669 11.179
 1130   1.86 -15.190 703.00 703.00 10.775 -4.078  -.682-10.729  6.585 11.174
 1140   1.84 -15.204 703.00 703.00 10.754 -4.246  -.828-10.938  6.501 11.169
 1150   1.82 -15.219 703.00 703.00 10.734 -4.414  -.975-11.147  6.417 11.163
 1160   1.80 -15.234 703.00 703.00 10.713 -4.581 -1.121-11.356  6.334 11.158
 1170   1.78 -15.248 703.00 703.00 10.692 -4.747 -1.267-11.564  6.251 11.153
 1180   1.76 -15.262 703.00 703.00 10.671 -4.913 -1.412-11.771  6.168 11.148
 1190   1.74 -15.276 703.00 703.00 10.650 -5.079 -1.557-11.978  6.085 11.143
 1200   1.72 -15.290 703.00 703.00 10.630 -5.244 -1.702-12.184  6.002 11.137
 1210   1.70 -15.304 703.00 703.00 10.609 -5.409 -1.846-12.390  5.920 11.132
 1220   1.68 -15.317 703.00 703.00 10.588 -5.573 -1.990-12.595  5.838 11.127
 1230   1.66 -15.330 703.00 703.00 10.568 -5.737 -2.134-12.800  5.756 11.122
 1240   1.64 -15.343 703.00 703.00 10.548 -5.901 -2.277-13.004  5.674 11.117
 1250   1.63 -15.356 703.00 703.00 10.527 -6.064 -2.420-13.207  5.592 11.112
 1260   1.61 -15.369 703.00 703.00 10.507 -6.226 -2.562-13.410  5.511 11.106
 1270   1.59 -15.382 703.00 703.00 10.486 -6.389 -2.704-13.613  5.430 11.101
 1280   1.58 -15.394 703.00 703.00 10.466 -6.550 -2.845-13.815  5.349 11.096
 1290   1.56 -15.407 703.00 703.00 10.446 -6.712 -2.987-14.016  5.268 11.091
 1300   1.55 -15.419 703.00 703.00 10.426 -6.873 -3.128-14.217  5.188 11.086
 1310   1.53 -15.431 703.00 703.00 10.406 -7.033 -3.268-14.417  5.108 11.081
 1320   1.52 -15.443 703.00 703.00 10.386 -7.193 -3.408-14.617  5.028 11.076
 1330   1.50 -15.454 703.00 703.00 10.366 -7.353 -3.548-14.816  4.948 11.071
 1340   1.49 -15.466 703.00 703.00 10.346 -7.512 -3.687-15.015  4.868 11.066
 1350   1.47 -15.477 703.00 703.00 10.326 -7.671 -3.826-15.214  4.789 11.061
 1360   1.46 -15.488 703.00 703.00 10.306 -7.829 -3.965-15.411  4.710 11.056
 1370   1.45 -15.499 703.00 703.00 10.287 -7.987 -4.104-15.609  4.631 11.051
 1380   1.43 -15.510 703.00 703.00 10.267 -8.145 -4.241-15.805  4.552 11.046
 1390   1.42 -15.521 703.00 703.00 10.247 -8.302 -4.379-16.002  4.473 11.041
 1400   1.41 -15.532 703.00 703.00 10.228 -8.459 -4.516-16.197  4.395 11.036
 1410   1.40 -15.542 703.00 703.00 10.208 -8.615 -4.653-16.393  4.317 11.031
 1420   1.39 -15.552 703.00 703.00 10.188 -8.771 -4.790-16.587  4.239 11.026
 1430   1.38 -15.562 703.00 703.00 10.169 -8.927 -4.926-16.782  4.161 11.021
 1440   1.37 -15.572 703.00 703.00 10.150 -9.082 -5.062-16.975  4.083 11.016
 1450   1.36 -15.582 703.00 703.00 10.130 -9.237 -5.197-17.169  4.006 11.012
 1460   1.35 -15.592 703.00 703.00 10.111 -9.391 -5.333-17.361  3.929 11.007
 1470   1.34 -15.602 703.00 703.00 10.092 -9.545 -5.467-17.554  3.852 11.002
 1480   1.33 -15.611 703.00 703.00 10.072 -9.699 -5.602-17.745  3.775 10.997
 1490   1.32 -15.621 703.00 703.00 10.053 -9.852 -5.736-17.937  3.698 10.992
 1500   1.31 -15.630 703.00 703.00 10.034-10.005 -5.870-18.127  3.622 10.987
 1510   1.30 -15.639 703.00 703.00 10.015-10.157 -6.003-18.318  3.546 10.983
 1520   1.29 -15.648 703.00 703.00  9.996-10.309 -6.136-18.508  3.470 10.978
 1530   1.28 -15.657 703.00 703.00  9.977-10.461 -6.269-18.697  3.394 10.973
 1540   1.27 -15.666 703.00 703.00  9.958-10.612 -6.402-18.886  3.318 10.968
 1550   1.27 -15.674 703.00 703.00  9.939-10.763 -6.534-19.074  3.243 10.963
 1560   1.26 -15.683 703.00 703.00  9.920-10.914 -6.665-19.262  3.167 10.959
 1570   1.25 -15.691 703.00 703.00  9.902-11.064 -6.797-19.449  3.092 10.954
 1580   1.24 -15.700 703.00 703.00  9.883-11.214 -6.928-19.636  3.017 10.949
 1590   1.24 -15.708 703.00 703.00  9.864-11.363 -7.059-19.823  2.943 10.945
 1600   1.23 -15.716 703.00 703.00  9.846-11.512 -7.189-20.009  2.868 10.940
 1610   1.22 -15.724 703.00 703.00  9.827-11.661 -7.319-20.195  2.794 10.935
 1620   1.22 -15.732 703.00 703.00  9.808-11.809 -7.449-20.380  2.720 10.931
 1630   1.21 -15.740 703.00 703.00  9.790-11.957 -7.579-20.564  2.646 10.926
 1640   1.21 -15.747 703.00 703.00  9.772-12.104 -7.708-20.748  2.572 10.921
 1650   1.20 -15.755 703.00 703.00  9.753-12.251 -7.837-20.932  2.499 10.917
 1660   1.19 -15.763 703.00 703.00  9.735-12.398 -7.965-21.115  2.425 10.912
 1670   1.19 -15.770 703.00 703.00  9.716-12.545 -8.093-21.298  2.352 10.907
 1680   1.18 -15.777 703.00 703.00  9.698-12.691 -8.221-21.480  2.279 10.903
 1690   1.18 -15.785 703.00 703.00  9.680-12.836 -8.349-21.662  2.206 10.898
 1700   1.17 -15.792 703.00 703.00  9.662-12.982 -8.476-21.844  2.133 10.894
 1710   1.17 -15.799 703.00 703.00  9.644-13.127 -8.603-22.025  2.061 10.889
 1720   1.16 -15.806 703.00 703.00  9.626-13.271 -8.729-22.205  1.989 10.884
 1730   1.16 -15.813 703.00 703.00  9.608-13.416 -8.856-22.385  1.917 10.880
 1740   1.16 -15.820 703.00 703.00  9.590-13.559 -8.982-22.565  1.845 10.875
 1750   1.15 -15.827 703.00 703.00  9.572-13.703 -9.107-22.744  1.773 10.871
 1760   1.15 -15.833 703.00 703.00  9.554-13.846 -9.233-22.923  1.701 10.866
 1770   1.14 -15.840 703.00 703.00  9.536-13.989 -9.358-23.101  1.630 10.862
 1780   1.14 -15.846 703.00 703.00  9.518-14.132 -9.482-23.279  1.559 10.857
 1790   1.14 -15.853 703.00 703.00  9.500-14.274 -9.607-23.457  1.487 10.853
 1800   1.13 -15.859 703.00 703.00  9.482-14.415 -9.731-23.634  1.417 10.848
 1810   1.13 -15.866 703.00 703.00  9.465-14.557 -9.855-23.810  1.346 10.844
 1820   1.12 -15.872 703.00 703.00  9.447-14.698 -9.978-23.986  1.275 10.840
 1830   1.12 -15.878 703.00 703.00  9.429-14.839-10.102-24.162  1.205 10.835
 1840   1.12 -15.884 703.00 703.00  9.412-14.979-10.224-24.337  1.135 10.831
 1850   1.11 -15.891 703.00 703.00  9.394-15.119-10.347-24.512  1.065 10.826
 1860   1.11 -15.897 703.00 703.00  9.377-15.259-10.469-24.687   .995 10.822
 1870   1.11 -15.903 703.00 703.00  9.360-15.398-10.591-24.861   .925 10.817
 1880   1.11 -15.909 703.00 703.00  9.342-15.537-10.713-25.034   .856 10.813
 1890   1.10 -15.914 703.00 703.00  9.325-15.676-10.835-25.207   .786 10.809
 1900   1.10 -15.920 703.00 703.00  9.307-15.814-10.956-25.380   .717 10.804
 1910   1.10 -15.926 703.00 703.00  9.290-15.952-11.077-25.552   .648 10.800
 1920   1.10 -15.932 703.00 703.00  9.273-16.090-11.197-25.724   .579 10.796
 1930   1.09 -15.937 703.00 703.00  9.256-16.227-11.317-25.896   .511 10.791
 1940   1.09 -15.943 703.00 703.00  9.239-16.364-11.437-26.067   .442 10.787
 1950   1.09 -15.949 703.00 703.00  9.222-16.501-11.557-26.238   .374 10.783
 1960   1.09 -15.954 703.00 703.00  9.204-16.638-11.676-26.408   .306 10.778
 1970   1.08 -15.960 703.00 703.00  9.187-16.774-11.795-26.578   .237 10.774
 1980   1.08 -15.965 703.00 703.00  9.170-16.909-11.914-26.747   .170 10.770
 1990   1.08 -15.970 703.00 703.00  9.154-17.045-12.033-26.916   .102 10.766
 2000   1.08 -15.976 703.00 703.00  9.137-17.180-12.151-27.085   .034 10.761
