 ******************************** Static Profile ********************************
                             Exospheric Temperature

  alt           500K           700K          1000K          1500K          2400K
 (km) mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty
   90  28.91  -5.466  28.91  -5.466  28.91  -5.466  28.91  -5.466  28.91  -5.466
  100  28.36  -6.245  28.36  -6.246  28.36  -6.248  28.36  -6.249  28.36  -6.251
  110  27.23  -7.003  27.25  -7.008  27.28  -7.013  27.30  -7.019  27.32  -7.024
  120  25.90  -7.665  26.03  -7.655  26.15  -7.648  26.25  -7.641  26.35  -7.636
  130  24.80  -8.176  25.11  -8.133  25.36  -8.099  25.57  -8.071  25.76  -8.046
  140  23.75  -8.573  24.28  -8.496  24.68  -8.437  25.01  -8.389  25.29  -8.347
  150  22.73  -8.899  23.50  -8.783  24.06  -8.702  24.51  -8.637  24.89  -8.582
  160  21.75  -9.183  22.74  -9.027  23.48  -8.919  24.06  -8.839  24.53  -8.774
  170  20.82  -9.441  22.02  -9.242  22.93  -9.107  23.64  -9.009  24.21  -8.935
  180  19.97  -9.679  21.33  -9.440  22.40  -9.274  23.25  -9.156  23.92  -9.072
  190  19.22  -9.902  20.67  -9.623  21.89  -9.426  22.88  -9.287  23.65  -9.192
  200  18.56 -10.112  20.07  -9.795  21.40  -9.567  22.52  -9.406  23.40  -9.298
  210  18.00 -10.312  19.51  -9.958  20.94  -9.700  22.17  -9.514  23.16  -9.392
  220  17.52 -10.501  19.00 -10.113  20.50  -9.825  21.84  -9.615  22.93  -9.477
  230  17.12 -10.683  18.55 -10.261  20.08  -9.945  21.52  -9.711  22.71  -9.556
  240  16.77 -10.859  18.15 -10.403  19.69 -10.059  21.21  -9.801  22.49  -9.628
  250  16.46 -11.029  17.79 -10.540  19.32 -10.169  20.91  -9.887  22.29  -9.695
  260  16.18 -11.195  17.47 -10.673  18.98 -10.275  20.62  -9.969  22.08  -9.759
  270  15.91 -11.357  17.19 -10.801  18.66 -10.378  20.34 -10.049  21.89  -9.819
  280  15.62 -11.516  16.94 -10.926  18.37 -10.477  20.08 -10.126  21.69  -9.877
  290  15.31 -11.672  16.71 -11.048  18.10 -10.574  19.82 -10.200  21.50  -9.932
