

 ******************************** Dynamic Model *********************************
  F10.7 = 100.00, Fbar = 100.00, Kp = 5.0, Right ascension (deg) =    .00
, Greenwich Sideral Time (rad) =    5.122 Altitude (km) = 600.00
, Modified Julian Date = 22476., UTC (s) =      .000

                                 Latitude (deg) 
 SunRA     -60            -30              0             30             60
  deg mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty
 -180  11.81 -13.475   7.91 -13.641   7.44 -13.652   9.17 -13.654  13.82 -13.295
 -175  11.70 -13.484   7.86 -13.645   7.41 -13.660   9.24 -13.658  13.88 -13.289
 -170  11.60 -13.493   7.79 -13.651   7.36 -13.670   9.28 -13.663  13.93 -13.284
 -165  11.49 -13.502   7.71 -13.658   7.29 -13.680   9.30 -13.669  13.97 -13.281
 -160  11.38 -13.512   7.62 -13.666   7.19 -13.692   9.28 -13.677  13.99 -13.280
 -155  11.27 -13.521   7.50 -13.676   7.07 -13.704   9.22 -13.687  14.00 -13.280
 -150  11.16 -13.531   7.36 -13.686   6.92 -13.717   9.14 -13.698  13.99 -13.282
 -145  11.05 -13.539   7.21 -13.697   6.76 -13.731   9.02 -13.710  13.97 -13.285
 -140  10.95 -13.547   7.06 -13.708   6.59 -13.743   8.87 -13.721  13.94 -13.289
 -135  10.85 -13.554   6.91 -13.718   6.43 -13.754   8.71 -13.733  13.90 -13.293
 -130  10.78 -13.559   6.76 -13.727   6.26 -13.763   8.53 -13.743  13.84 -13.298
 -125  10.72 -13.562   6.63 -13.734   6.12 -13.770   8.36 -13.751  13.78 -13.303
 -120  10.69 -13.563   6.53 -13.738   6.00 -13.772   8.20 -13.756  13.72 -13.308
 -115  10.70 -13.560   6.46 -13.739   5.93 -13.771   8.07 -13.757  13.67 -13.311
 -110  10.74 -13.553   6.43 -13.736   5.89 -13.765   7.97 -13.754  13.61 -13.312
 -105  10.82 -13.543   6.45 -13.728   5.90 -13.754   7.91 -13.746  13.57 -13.312
 -100  10.94 -13.530   6.51 -13.717   5.95 -13.739   7.90 -13.734  13.53 -13.310
  -95  11.09 -13.513   6.63 -13.702   6.05 -13.719   7.92 -13.717  13.49 -13.308
  -90  11.28 -13.493   6.79 -13.683   6.20 -13.695   7.99 -13.697  13.47 -13.305
  -85  11.49 -13.472   6.99 -13.661   6.40 -13.667   8.09 -13.673  13.44 -13.301
  -80  11.71 -13.448   7.24 -13.636   6.64 -13.636   8.22 -13.647  13.42 -13.297
  -75  11.94 -13.424   7.52 -13.609   6.91 -13.603   8.37 -13.618  13.40 -13.294
  -70  12.18 -13.399   7.82 -13.580   7.20 -13.568   8.54 -13.589  13.38 -13.291
  -65  12.41 -13.374   8.14 -13.551   7.51 -13.532   8.71 -13.558  13.35 -13.288
  -60  12.63 -13.349   8.46 -13.522   7.82 -13.496   8.89 -13.528  13.32 -13.286
