

 ******************************** Dynamic Model *********************************
  F10.7 = 100.00, Fbar = 100.00, Kp = 5.0, Right ascension (deg) =    .00
, Greenwich Sideral Time (rad) =    5.122 Altitude (km) = 600.00
, Modified Julian Date = 22476., UTC (s) =      .000

                                 Latitude (deg) 
 SunRA     -60            -30              0             30             60
  -55  12.84 -13.326   8.78 -13.495   8.12 -13.462   9.06 -13.499  13.28 -13.285
  -50  13.04 -13.304   9.09 -13.468   8.40 -13.429   9.22 -13.470  13.24 -13.284
  -45  13.22 -13.282   9.38 -13.444   8.67 -13.398   9.36 -13.443  13.19 -13.285
  -40  13.38 -13.263   9.65 -13.421   8.90 -13.370   9.49 -13.418  13.14 -13.285
  -35  13.53 -13.244   9.90 -13.401   9.11 -13.345   9.61 -13.395  13.08 -13.286
  -30  13.67 -13.226  10.14 -13.382   9.30 -13.322   9.71 -13.373  13.02 -13.287
  -25  13.80 -13.209  10.36 -13.364   9.47 -13.300   9.81 -13.352  12.95 -13.288
  -20  13.92 -13.193  10.57 -13.348   9.63 -13.280   9.90 -13.332  12.89 -13.289
  -15  14.03 -13.177  10.77 -13.332   9.78 -13.261   9.99 -13.313  12.84 -13.288
  -10  14.14 -13.161  10.97 -13.316   9.93 -13.243  10.09 -13.294  12.79 -13.287
   -5  14.24 -13.145  11.18 -13.299  10.08 -13.224  10.19 -13.275  12.75 -13.285
    0  14.34 -13.129  11.38 -13.282  10.25 -13.204  10.31 -13.255  12.72 -13.282
    5  14.43 -13.113  11.59 -13.264  10.42 -13.184  10.45 -13.235  12.71 -13.277
   10  14.52 -13.097  11.80 -13.245  10.62 -13.163  10.59 -13.214  12.71 -13.271
   15  14.61 -13.082  12.01 -13.226  10.82 -13.141  10.76 -13.193  12.73 -13.264
   20  14.69 -13.067  12.21 -13.206  11.03 -13.119  10.93 -13.172  12.76 -13.256
   25  14.76 -13.054  12.41 -13.187  11.24 -13.097  11.11 -13.151  12.80 -13.248
   30  14.82 -13.042  12.59 -13.169  11.45 -13.075  11.30 -13.131  12.85 -13.240
   35  14.88 -13.033  12.75 -13.153  11.66 -13.055  11.47 -13.113  12.91 -13.232
   40  14.93 -13.026  12.90 -13.139  11.84 -13.038  11.64 -13.097  12.97 -13.225
   45  14.96 -13.022  13.01 -13.128  12.01 -13.024  11.79 -13.084  13.03 -13.220
   50  14.98 -13.021  13.10 -13.121  12.14 -13.014  11.91 -13.076  13.09 -13.216
   55  14.99 -13.023  13.16 -13.119  12.25 -13.008  12.01 -13.072  13.14 -13.214
   60  14.99 -13.029  13.18 -13.121  12.32 -13.008  12.08 -13.073  13.19 -13.214
   65  14.97 -13.038  13.17 -13.128  12.35 -13.014  12.11 -13.080  13.22 -13.217
   70  14.93 -13.051  13.12 -13.140  12.33 -13.027  12.10 -13.092  13.24 -13.222
   75  14.88 -13.067  13.03 -13.157  12.27 -13.045  12.05 -13.111  13.25 -13.230
   80  14.80 -13.086  12.89 -13.179  12.15 -13.070  11.95 -13.135  13.24 -13.240
   85  14.71 -13.107  12.71 -13.206  11.99 -13.101  11.81 -13.165  13.23 -13.252
   90  14.61 -13.131  12.48 -13.238  11.76 -13.137  11.63 -13.199  13.21 -13.266
   95  14.48 -13.157  12.20 -13.272  11.49 -13.178  11.40 -13.238  13.17 -13.281
  100  14.34 -13.184  11.88 -13.310  11.16 -13.222  11.14 -13.279  13.14 -13.296
  105  14.18 -13.212  11.51 -13.349  10.80 -13.269  10.85 -13.323  13.10 -13.311
  110  14.00 -13.240  11.12 -13.388  10.40 -13.316  10.54 -13.367  13.07 -13.325
  115  13.82 -13.268  10.71 -13.427   9.98 -13.363  10.23 -13.410  13.04 -13.337
  120  13.63 -13.294  10.29 -13.464   9.57 -13.409   9.92 -13.452  13.03 -13.347
  125  13.43 -13.319   9.89 -13.498   9.17 -13.451   9.64 -13.490  13.03 -13.355
  130  13.24 -13.342   9.51 -13.528   8.80 -13.489   9.39 -13.525  13.04 -13.359
  135  13.05 -13.363   9.17 -13.554   8.47 -13.522   9.18 -13.555  13.08 -13.361
  140  12.87 -13.382   8.87 -13.576   8.20 -13.551   9.02 -13.580  13.13 -13.360
  145  12.70 -13.399   8.63 -13.594   7.98 -13.574   8.92 -13.600  13.20 -13.356
  150  12.54 -13.413   8.43 -13.607   7.80 -13.593   8.86 -13.616  13.28 -13.350
  155  12.40 -13.426   8.27 -13.617   7.68 -13.608   8.85 -13.628  13.37 -13.341
  160  12.26 -13.437   8.16 -13.625   7.59 -13.620   8.88 -13.637  13.46 -13.332
  165  12.14 -13.448   8.07 -13.630   7.53 -13.630   8.93 -13.643  13.56 -13.322
  170  12.02 -13.457   8.01 -13.634   7.49 -13.638   9.01 -13.647  13.65 -13.313
  175  11.91 -13.466   7.96 -13.637   7.47 -13.645   9.09 -13.650  13.74 -13.304
  180  11.81 -13.475   7.91 -13.641   7.44 -13.652   9.17 -13.654  13.82 -13.295
