

 ************************** Static Model - Solar Cycle **************************
                           F10.7 = 100.00 Fbar = 100.00

  Alt MMolMs LogDsty ExTemp LcTemp NMolHe NMolO2 NMolN2 NMolAr NMmolO  NMolH
  790   4.16 -14.297 860.48 859.99 11.742  4.320  6.751   .000 10.636 11.131
  800   4.05 -14.327 860.48 860.01 11.723  4.169  6.619   .000 10.561 11.127
  810   3.96 -14.356 860.48 860.03 11.705  4.019  6.488   .000 10.486 11.122
  820   3.87 -14.384 860.48 860.05 11.686  3.869  6.357   .000 10.411 11.117
  830   3.80 -14.411 860.48 860.07 11.667  3.720  6.226   .000 10.337 11.113
  840   3.72 -14.437 860.48 860.08 11.648  3.571  6.096   .000 10.262 11.108
  850   3.66 -14.461 860.48 860.10 11.630  3.423  5.966   .000 10.188 11.103
  860   3.60 -14.485 860.48 860.11 11.611  3.275  5.836   .000 10.114 11.098
  870   3.55 -14.508 860.48 860.13 11.593  3.127  5.707   .000 10.040 11.094
  880   3.50 -14.531 860.48 860.14 11.574  2.980  5.578   .000  9.966 11.089
  890   3.45 -14.552 860.48 860.15 11.556  2.833  5.449   .000  9.893 11.085
  900   3.41 -14.574 860.48 860.17 11.538  2.686  5.321   .000  9.820 11.080
  910   3.37 -14.594 860.48 860.18 11.520  2.540  5.193   .000  9.747 11.075
  920   3.33 -14.614 860.48 860.19 11.501  2.395  5.066   .000  9.674 11.071
  930   3.29 -14.634 860.48 860.20 11.483  2.250  4.939   .000  9.601 11.066
  940   3.26 -14.653 860.48 860.21 11.465  2.105  4.812   .000  9.529 11.062
  950   3.23 -14.672 860.48 860.22 11.447  1.960  4.686   .000  9.457 11.057
  960   3.20 -14.691 860.48 860.23 11.429  1.816  4.559   .000  9.385 11.053
  970   3.17 -14.709 860.48 860.24 11.411  1.673  4.434   .000  9.313 11.048
  980   3.14 -14.727 860.48 860.24 11.393  1.529  4.308   .000  9.241 11.043
  990   3.11 -14.745 860.48 860.25 11.375  1.387  4.183   .000  9.170 11.039
 1000   3.09 -14.762 860.48 860.26 11.357  1.244  4.059   .000  9.098 11.034
 1010   3.06 -14.780 860.48 860.27 11.340  1.102  3.934   .000  9.027 11.030
 1020   3.03 -14.797 860.48 860.27 11.322   .960  3.810   .000  8.957 11.026
 1030   3.01 -14.814 860.48 860.28 11.304   .819  3.686   .000  8.886 11.021
 1040   2.98 -14.831 860.48 860.29 11.287   .678  3.563   .000  8.815 11.017
 1050   2.96 -14.847 860.48 860.29 11.269   .538  3.440   .000  8.745 11.012
 1060   2.94 -14.864 860.48 860.30 11.251   .398  3.317   .000  8.675 11.008
 1070   2.91 -14.880 860.48 860.30 11.234   .258  3.195   .000  8.605 11.003
 1080   2.89 -14.896 860.48 860.31 11.217   .118  3.073   .000  8.536 10.999
 1090   2.87 -14.912 860.48 860.31 11.199   .000  2.951   .000  8.466 10.995
 1100   2.84 -14.928 860.48 860.32 11.182   .000  2.830   .000  8.397 10.990
 1110   2.82 -14.944 860.48 860.32 11.164   .000  2.709   .000  8.328 10.986
 1120   2.80 -14.959 860.48 860.33 11.147   .000  2.588   .000  8.259 10.982
 1130   2.78 -14.975 860.48 860.33 11.130   .000  2.468   .000  8.190 10.977
 1140   2.75 -14.990 860.48 860.34 11.113   .000  2.348   .000  8.121 10.973
 1150   2.73 -15.006 860.48 860.34 11.096   .000  2.228   .000  8.053 10.969
 1160   2.71 -15.021 860.48 860.35 11.079   .000  2.108   .000  7.985 10.964
 1170   2.69 -15.036 860.48 860.35 11.062   .000  1.989   .000  7.917 10.960
 1180   2.66 -15.051 860.48 860.35 11.045   .000  1.870   .000  7.849 10.956
 1190   2.64 -15.066 860.48 860.36 11.028   .000  1.752   .000  7.781 10.951
 1200   2.62 -15.080 860.48 860.36 11.011   .000  1.634   .000  7.714 10.947
 1210   2.60 -15.095 860.48 860.36 10.994   .000  1.516   .000  7.646 10.943
 1220   2.57 -15.110 860.48 860.37 10.977   .000  1.398   .000  7.579 10.939
 1230   2.55 -15.124 860.48 860.37 10.960   .000  1.281   .000  7.512 10.934
 1240   2.53 -15.138 860.48 860.37 10.944   .000  1.164   .000  7.445 10.930
 1250   2.51 -15.153 860.48 860.37 10.927   .000  1.047   .000  7.379 10.926
 1260   2.49 -15.167 860.48 860.38 10.910   .000   .931   .000  7.312 10.922
 1270   2.47 -15.181 860.48 860.38 10.894   .000   .815   .000  7.246 10.918
 1280   2.44 -15.195 860.48 860.38 10.877   .000   .699   .000  7.180 10.914
 1290   2.42 -15.209 860.48 860.38 10.861   .000   .584   .000  7.114 10.909
 1300   2.40 -15.222 860.48 860.39 10.844   .000   .469   .000  7.048 10.905
 1310   2.38 -15.236 860.48 860.39 10.828   .000   .354   .000  6.983 10.901
 1320   2.36 -15.249 860.48 860.39 10.812   .000   .240   .000  6.917 10.897
 1330   2.34 -15.263 860.48 860.39 10.795   .000   .125   .000  6.852 10.893
 1340   2.32 -15.276 860.48 860.40 10.779   .000   .011   .000  6.787 10.889
 1350   2.30 -15.289 860.48 860.40 10.763   .000   .000   .000  6.722 10.885
 1360   2.28 -15.303 860.48 860.40 10.747   .000   .000   .000  6.657 10.881
 1370   2.26 -15.316 860.48 860.40 10.731   .000   .000   .000  6.593 10.877
 1380   2.24 -15.329 860.48 860.40 10.714   .000   .000   .000  6.528 10.872
 1390   2.22 -15.341 860.48 860.40 10.698   .000   .000   .000  6.464 10.868
 1400   2.20 -15.354 860.48 860.41 10.682   .000   .000   .000  6.400 10.864
 1410   2.18 -15.367 860.48 860.41 10.666   .000   .000   .000  6.336 10.860
 1420   2.16 -15.379 860.48 860.41 10.650   .000   .000   .000  6.273 10.856
 1430   2.14 -15.392 860.48 860.41 10.634   .000   .000   .000  6.209 10.852
 1440   2.12 -15.404 860.48 860.41 10.619   .000   .000   .000  6.146 10.848
 1450   2.10 -15.416 860.48 860.41 10.603   .000   .000   .000  6.082 10.844
 1460   2.08 -15.429 860.48 860.42 10.587   .000   .000   .000  6.019 10.840
 1470   2.06 -15.441 860.48 860.42 10.571   .000   .000   .000  5.956 10.836
