

 ************************** Static Model - Solar Cycle **************************
                           F10.7 = 100.00 Fbar = 100.00

  Alt MMolMs LogDsty ExTemp LcTemp NMolHe NMolO2 NMolN2 NMolAr NMmolO  NMolH
   90  28.83  -5.461 703.00 183.00 14.646 19.169 19.750 17.828 17.823  3.788
  100  27.64  -6.256 703.00 191.70 13.850 18.271 18.954 17.032 18.042  2.993
  110  26.52  -7.002 703.00 230.03 13.706 17.426 18.205 15.998 17.580 12.327
  120  25.29  -7.629 703.00 300.87 13.558 16.705 17.560 15.127 17.161 12.192
  130  24.15  -8.114 703.00 386.89 13.432 16.135 17.047 14.442 16.822 12.068
  140  23.15  -8.484 703.00 463.05 13.338 15.687 16.645 13.902 16.559 11.978
  150  22.25  -8.777 703.00 519.60 13.267 15.319 16.317 13.455 16.350 11.918
  160  21.44  -9.023 703.00 559.53 13.211 14.998 16.031 13.062 16.173 11.877
  170  20.71  -9.238 703.00 588.21 13.163 14.705 15.772 12.702 16.016 11.847
  180  20.05  -9.432 703.00 609.59 13.121 14.431 15.530 12.363 15.871 11.823
  190  19.46  -9.612 703.00 626.09 13.083 14.169 15.299 12.039 15.734 11.804
  200  18.93  -9.779 703.00 639.17 13.047 13.916 15.077 11.726 15.603 11.787
  210  18.47  -9.936 703.00 649.74 13.012 13.670 14.861 11.421 15.477 11.772
  220  18.07 -10.085 703.00 658.38 12.980 13.430 14.650 11.122 15.354 11.759
  230  17.72 -10.227 703.00 665.50 12.948 13.194 14.443 10.829 15.233 11.747
  240  17.42 -10.364 703.00 671.39 12.917 12.962 14.240 10.541 15.116 11.736
  250  17.16 -10.495 703.00 676.28 12.887 12.734 14.039 10.256 15.000 11.726
  260  16.93 -10.622 703.00 680.34 12.857 12.508 13.841  9.975 14.885 11.716
  270  16.73 -10.746 703.00 683.73 12.828 12.284 13.645  9.696 14.773 11.707
  280  16.55 -10.867 703.00 686.55 12.800 12.063 13.451  9.420 14.661 11.698
